ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг
Сергій Володимириш,False,191,200,200,196.4
Софія Іваниш,False,192,198,190,193.20000000000002
Лідія Лідіїш,False,195,191,191,192.60000000000002
Ігор Тетяниш,False,186,197,195,192.0
Вікторія Богданіш,False,188,198,188,191.0
Тетяна Оксаниш,False,193,197,182,190.9
Марія Алібіба,False,199,191,178,190.3
Андрій Анатоліїш,False,195,178,194,189.6
Артем Загвойко,False,196,183,181,187.60000000000002
Марія Тарасіш,False,199,179,178,186.70000000000002
Ольга Володимириш,False,189,198,170,186.0
Тарас Анатоліїш,False,178,199,183,185.8
Андрій Ніниш,False,193,177,181,184.60000000000002
Ганна Іваниш,False,198,197,154,184.5
Анатолій Софіїш,False,188,179,184,184.1
Іван Ковтун,False,193,182,174,184.0
Ярослава Володимириш,False,175,188,192,184.0
Дмитро Анниш,False,185,185,181,183.8
Ярослав Олександріш,False,175,186,190,182.8
Ярослава Ніниш,False,174,197,179,182.39999999999998
Тарас Іванниш,False,168,198,185,182.1
Артем Дмитришенко,False,200,170,168,181.4
Юлія Анатоліїш,False,176,179,191,181.39999999999998
Павло Вікторіїш,False,188,159,194,181.1
Ольга Анниш,False,188,189,163,180.8
Ярослав Володимириш,False,159,190,200,180.6
Ольга Артеміш,False,183,179,179,180.6
Ольга Михайлиш,False,189,171,179,180.6
Оксана Богданіш,False,200,188,147,180.5
Анатолій Сергіїш,False,188,198,153,180.5
Людмила Олександріш,False,186,170,183,180.3
Богдан Наталіїш,False,195,190,149,179.7
Анна Загвойко,False,168,196,179,179.7
Іванна Олегіш,False,199,163,168,178.9
Людмила Катериниш,False,168,182,190,178.8
Юлія Олексіїш,False,198,166,166,178.8
Михайло Артеміш,False,179,185,172,178.70000000000002
Петро Олениш,True,171,173,193,178.20000000000002
Лідія Ковтун,True,176,196,163,178.1
Марія Сергіїш,True,182,179,171,177.8
Ярослава Олексіїш,True,181,193,158,177.70000000000002
Олена Артеміш,True,199,160,167,177.70000000000002
Ольга Дмитришенко,True,193,193,142,177.7
Дмитро Петріш,False,153,188,200,177.6
Ігор Ярославиш,True,186,176,168,177.6
Олексій Петріш,False,194,184,149,177.5
Ярослав Богданіш,True,186,200,143,177.3
Анатолій Тарасіш,False,192,168,167,177.3
Олег Неборачко,False,173,193,167,177.2
Дмитро Олександріш,False,196,162,167,177.1
Максим Неборачко,False,161,176,199,176.9
Сергій Ілляш,False,199,126,198,176.8
Лідія Товтиш,True,155,190,192,176.6
Ніна Загвойко,True,185,161,181,176.6
Михайло Наталіїш,True,177,185,167,176.4
Ірина Ніниш,False,183,180,164,176.4
Іван Катериниш,False,186,159,181,176.39999999999998
Петро Загвойко,False,152,193,192,176.3
Марта Олегіш,False,193,200,130,176.2
Людмила Лідіїш,False,162,200,171,176.1
Володимир Тетяниш,False,199,133,188,175.9
Ольга Олександріш,False,186,180,158,175.8
Андрій Маріїш,False,182,190,153,175.70000000000002
Анатолій Загвойко,False,164,191,176,175.7
Катерина Анниш,False,190,144,188,175.6
Ірина Тетяниш,True,145,192,200,175.6
Володимир Маріїш,True,196,171,153,175.6
Максим Тарасіш,True,168,175,186,175.5
Віктор Сергіїш,False,146,190,200,175.4
Наталія Андріїш,False,164,182,184,175.4
Ярослава Оксаниш,False,191,184,146,175.39999999999998
Тетяна Романіш,True,163,186,181,175.3
Марія Софіїш,True,192,191,137,175.20000000000002
Дмитро Іванниш,True,171,165,191,175.2
Софія Загвойко,False,166,176,186,175.0
Іванна Петріш,True,144,195,196,174.89999999999998
Олег Іваниш,False,197,196,124,174.8
Роман Ярославіш,False,181,193,148,174.70000000000002
Іван Наталіїш,True,178,200,145,174.7
Ганна Лідіїш,True,190,134,195,174.7
Сергій Сергіїш,False,160,184,185,174.7
Максим Петріш,True,183,138,200,174.6
Артем Ковтун,True,183,184,154,174.6
Дмитро Вікторіїш,True,159,188,182,174.6
Юлія Лідіїш,False,195,137,185,174.6
Михайло Анатоліїш,False,152,188,191,174.5
Богдан Катериниш,True,170,170,185,174.5
Софія Анатоліїш,True,199,129,187,174.4
Артем Товтиш,True,174,169,180,174.3
Іван Іванниш,False,190,194,133,174.1
Софія Дмитріш,True,141,192,200,174.0
Ярослав Анатоліїш,True,182,155,182,173.9
Катерина Ковтун,False,191,159,166,173.89999999999998
Марія Ярославиш,True,162,163,200,173.7
Олексій Вікторіїш,True,200,199,113,173.6
Павло Ілляш,False,164,198,162,173.6
Анна Володимириш,False,163,180,181,173.5
Максим Олениш,False,178,160,181,173.5
Іванна Іваниш,False,155,180,191,173.3
Сергій Катериниш,False,164,186,173,173.3
Дмитро Андріїш,False,200,132,179,173.29999999999998
Михайло Олегіш,False,189,127,198,173.10000000000002
Наталія Анатоліїш,False,195,182,135,173.1
Анастасія Ковтун,True,179,183,155,173.0
Віктор Ярославиш,False,197,182,132,173.0
Ярослав Олегіш,False,176,180,162,173.0
Оксана Олениш,False,187,190,137,172.9
Роман Володимириш,False,153,187,185,172.8
Юлія Андріїш,False,176,189,152,172.7
Ілля Ярославиш,True,187,185,141,172.60000000000002
Наталія Іваниш,False,186,155,172,172.5
Лідія Неборачко,True,179,136,200,172.4
Анна Неборачко,False,193,165,152,172.3
Оксана Олександріш,False,163,161,196,172.3
Софія Софіїш,True,172,165,180,172.3
Петро Ігоріш,True,157,193,172,172.3
Софія Богданіш,False,192,136,182,172.20000000000002
Марта Богданіш,False,180,143,191,172.2
Вікторія Петріш,False,144,198,184,172.2
Олександр Сергіїш,True,195,129,185,172.2
Ірина Ігоріш,False,198,160,150,172.2
Олексій Неборачко,True,158,177,186,172.10000000000002
Ольга Іриниш,True,197,136,175,172.10000000000002
Олексій Олександріш,False,196,199,113,172.0
Олена Олениш,True,168,185,164,171.9
Олексій Наталіїш,True,171,147,198,171.9
Володимир Ілляш,False,141,192,193,171.9
Анна Людмилиш,False,189,147,174,171.9
Максим Іваниш,True,191,152,166,171.8
Павло Олегіш,True,198,173,135,171.6
Ніна Лідіїш,False,151,197,173,171.4
Ігор Олексіїш,True,163,188,166,171.39999999999998
Ніна Вікторіїш,False,186,163,160,171.3
Ігор Іваниш,False,150,178,193,171.3
Ілля Ілляш,True,185,186,138,171.20000000000002
Сергій Вікторіїш,True,152,169,199,171.2
Сергій Маріїш,False,183,157,169,171.0
Михайло Михайлиш,False,186,141,181,171.0
Анастасія Ілляш,False,192,199,115,171.0
Сергій Іванниш,False,195,162,148,171.0
Сергій Анатоліїш,False,153,189,177,171.0
Павло Дмитришенко,False,182,133,194,170.89999999999998
Софія Катериниш,False,149,174,197,170.89999999999998
Людмила Петріш,True,190,138,178,170.8
Іванна Артеміш,True,178,179,153,170.8
Віктор Вікторіш,True,192,149,164,170.7
Дмитро Олегіш,True,179,175,155,170.60000000000002
Ніна Наталіїш,False,194,116,194,170.6
Артем Олениш,False,148,190,181,170.5
Ярослав Олексіїш,True,160,186,169,170.5
Анна Ганниш,True,181,160,166,170.2
Олена Сергіїш,False,190,161,153,170.2
Марія Вікторіш,True,175,161,173,170.2
Ганна Олександріш,True,198,184,119,170.1
Тетяна Неборачко,False,168,165,178,170.1
Олена Маріїш,True,180,142,185,170.1
Іван Анатоліїш,True,180,150,177,170.1
Андрій Олександріш,False,150,191,175,169.8
Ольга Ярославиш,True,157,164,192,169.6
Володимир Артеміш,True,158,176,178,169.4
Андрій Вікторіїш,False,161,158,192,169.4
Володимир Олениш,False,196,177,126,169.3
Ігор Катериниш,True,159,170,182,169.2
Анатолій Товтиш,True,174,192,140,169.2
Ольга Андріїш,True,186,150,166,169.2
Марта Михайлиш,True,144,187,185,169.2
Олена Загвойко,False,174,181,151,169.2
Катерина Лідіїш,True,174,168,164,169.2
Ілля Олександріш,True,150,187,177,169.2
Оксана Михайлиш,False,194,174,131,169.10000000000002
Михайло Ковтун,True,170,162,175,169.1
Тарас Катериниш,False,170,159,178,169.1
Марія Анатоліїш,False,157,182,172,169.0
Лідія Людмилиш,False,196,164,138,169.0
Марія Богданіш,True,147,176,191,168.89999999999998
Ілля Олениш,True,150,174,189,168.89999999999998
Катерина Оксаниш,False,141,194,181,168.89999999999998
Ірина Ярославиш,False,177,193,134,168.89999999999998
Іванна Дмитришенко,False,198,195,104,168.89999999999998
Анна Ніниш,False,170,186,150,168.8
Марта Іваниш,True,170,183,153,168.8
Дмитро Софіїш,False,197,127,173,168.8
Тарас Романіш,False,166,164,177,168.7
Лідія Володимириш,False,160,156,193,168.7
Ганна Іванниш,False,186,194,120,168.6
Марія Артеміш,True,191,195,112,168.5
Ігор Максиміш,False,197,147,152,168.5
Дмитро Ігоріш,False,158,156,195,168.5
Оксана Ярославіш,False,179,178,145,168.5
Ігор Ілляш,False,157,182,170,168.4
Оксана Алібіба,True,168,156,181,168.3
Наталія Наталіїш,True,159,179,170,168.3
Володимир Володимириш,False,194,138,164,168.2
Ярослав Сергіїш,False,142,197,174,168.1
Юлія Загвойко,False,195,187,113,168.0
Ярослава Сергіїш,True,162,145,199,168.0
Ілля Тетяниш,True,158,155,194,167.9
Юлія Володимириш,False,170,155,178,167.9
Іван Максиміш,True,194,181,120,167.9
Софія Максиміш,False,188,123,186,167.89999999999998
Ніна Богданіш,False,182,178,139,167.89999999999998
Марія Лідіїш,False,158,153,196,167.89999999999998
Ярослав Ілляш,False,196,123,175,167.8
Юлія Ковтун,True,166,154,184,167.79999999999998
Дмитро Олениш,False,186,194,117,167.7
Вікторія Олегіш,False,195,123,176,167.7
Софія Ярославиш,True,161,162,182,167.6
Богдан Романіш,False,146,168,195,167.3
Тетяна Ніниш,False,158,153,194,167.29999999999998
Іван Ярославіш,True,167,178,157,167.29999999999998
Тарас Олексіїш,False,166,193,143,167.20000000000002
Марта Володимириш,True,178,160,160,167.2
Анастасія Максиміш,False,181,117,199,167.2
Вікторія Олександріш,False,193,110,190,167.2
Андрій Михайлиш,False,187,155,153,167.2
Олег Анниш,True,195,176,121,167.10000000000002
Наталія Богданіш,False,159,194,151,167.1
Дмитро Наталіїш,True,194,141,157,167.0
Петро Софіїш,False,188,128,178,167.0
Олег Олексіїш,True,175,149,174,166.89999999999998
Анатолій Андріїш,True,153,180,172,166.8
Анна Олениш,True,174,149,175,166.8
Наталія Оксаниш,False,170,172,157,166.7
Максим Сергіїш,True,169,190,140,166.60000000000002
Ярослав Іваниш,False,142,200,166,166.60000000000002
Андрій Ковтун,False,196,114,180,166.6
Олексій Максиміш,True,154,181,169,166.6
Анна Маріїш,False,165,172,163,166.5
Дмитро Ярославиш,True,140,177,191,166.39999999999998
Володимир Петріш,False,186,119,187,166.2
Іванна Алібіба,True,186,130,176,166.2
Артем Ганниш,False,161,164,175,166.1
Олексій Ігоріш,False,149,183,172,166.1
Анатолій Оксаниш,True,170,148,179,166.1
Оксана Вікторіш,False,182,174,137,166.1
Анастасія Оксаниш,True,184,149,159,166.0
Олена Ніниш,False,186,153,152,165.9
Павло Олександріш,True,198,114,175,165.9
Софія Олегіш,False,150,154,199,165.89999999999998
Ігор Ніниш,True,169,138,189,165.7
Тетяна Олениш,False,181,130,181,165.7
Володимир Алібіба,False,168,192,136,165.6
Анастасія Вікторіїш,True,195,170,122,165.6
Андрій Вікторіш,True,173,154,167,165.5
Юлія Петріш,False,184,140,166,165.4
Вікторія Ігоріш,False,192,102,193,165.3
Володимир Олегіш,True,192,168,127,165.3
Наталія Тетяниш,False,174,132,187,165.3
Сергій Лідіїш,False,149,154,198,165.2
Оксана Максиміш,True,167,136,192,165.2
Олег Софіїш,False,173,154,166,165.2
Ярослав Алібіба,False,191,135,161,165.2
Ірина Олексіїш,True,196,183,106,165.10000000000002
Ганна Вікторіш,True,151,166,183,165.1
Іванна Ярославиш,False,178,160,153,165.1
Богдан Лідіїш,True,169,198,127,165.1
Павло Лідіїш,True,169,193,132,165.1
Анастасія Катериниш,True,183,121,185,165.0
Петро Оксаниш,False,141,172,190,165.0
Катерина Іриниш,True,186,192,110,165.0
Олена Людмилиш,False,165,181,149,165.0
Ганна Вікторіїш,False,182,132,175,164.9
Ірина Алібіба,False,187,148,152,164.79999999999998
Олег Катериниш,True,144,195,162,164.7
Дмитро Богданіш,True,150,159,190,164.7
Павло Петріш,True,150,158,191,164.7
Ганна Загвойко,False,197,126,160,164.60000000000002
Ганна Ніниш,True,176,128,186,164.60000000000002
Роман Загвойко,True,194,154,136,164.60000000000002
Софія Маріїш,False,188,100,198,164.6
Михайло Товтиш,True,179,197,113,164.6
Юлія Дмитришенко,True,140,163,199,164.6
Петро Андріїш,False,158,174,164,164.6
Олена Анниш,False,166,138,189,164.5
Вікторія Вікторіш,True,166,153,174,164.5
Сергій Ніниш,True,144,169,187,164.4
Михайло Маріїш,False,142,185,173,164.20000000000002
Марта Загвойко,False,175,138,176,164.2
Анна Сергіїш,True,187,178,120,164.2
Олексій Богданіш,False,174,135,180,164.10000000000002
Юлія Наталіїш,False,164,128,200,164.0
Ніна Артеміш,False,200,127,153,164.0
Віктор Оксаниш,True,180,119,187,163.79999999999998
Наталія Олексіїш,True,153,148,194,163.79999999999998
Андрій Олегіш,True,143,176,179,163.7
Катерина Володимириш,False,182,141,162,163.7
Оксана Романіш,True,154,159,181,163.6
